t,set_left_rps,set_right_rps,meas_left_rps,meas_right_rps,out_left,out_right,Kp,Ki,Kd,battery_v
0.005,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.009,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.031,1.000,1.000,-0.442,-0.442,1.0000,1.0000,0.9000,0.0000,0.0500,
0.059,1.000,1.000,-1.429,-1.429,1.0000,1.0000,0.9000,0.0000,0.0500,
0.100,1.000,1.000,-1.904,-1.970,1.0000,1.0000,0.9000,0.0000,0.0500,
0.144,1.000,1.000,-2.266,-2.302,1.0000,1.0000,0.9000,0.0000,0.0500,
0.196,1.000,1.000,-2.388,-2.388,1.0000,1.0000,0.9000,0.0000,0.0500,
0.251,1.000,1.000,-2.406,-2.434,1.0000,1.0000,0.9000,0.0000,0.0500,
0.305,1.000,1.000,-2.441,-2.441,1.0000,1.0000,0.9000,0.0000,0.0500,
0.375,1.000,1.000,-2.422,-2.421,0.9351,0.9344,0.9000,0.0000,0.0500,
0.452,1.000,1.000,-2.438,-2.458,1.0000,1.0000,0.9000,0.0000,0.0500,
0.544,1.000,1.000,-2.438,-2.474,0.9957,1.0000,0.9000,0.0000,0.0500,
0.625,1.000,1.000,-2.453,-2.470,1.0000,0.9880,0.9000,0.0000,0.0500,
0.704,1.000,1.000,-2.428,-2.428,0.9148,0.8551,0.9000,0.0000,0.0500,
0.776,1.000,1.000,-2.421,-2.461,0.9525,1.0000,0.9000,0.0000,0.0500,
0.858,1.000,1.000,-2.449,-2.449,1.0000,0.9469,0.9000,0.0000,0.0500,
0.930,1.000,1.000,-2.450,-2.485,1.0000,1.0000,0.9000,0.0000,0.0500,
1.008,1.000,1.000,-2.447,-2.468,0.9859,0.9415,0.9000,0.0000,0.0500,
1.086,1.000,1.000,-2.457,-2.457,1.0000,0.9466,0.9000,0.0000,0.0500,
1.168,1.000,1.000,-2.454,-2.454,0.9881,0.9646,0.9000,0.0000,0.0500,
1.246,1.000,1.000,-2.443,-2.463,0.9603,1.0000,0.9000,0.0000,0.0500,
1.334,1.000,1.000,-2.296,-2.313,0.4859,0.4703,0.9000,0.0000,0.0500,
1.437,1.000,1.000,-2.452,-2.452,1.0000,1.0000,0.9000,0.0000,0.0500,
1.521,1.000,1.000,-2.453,-2.468,1.0000,1.0000,0.9000,0.0000,0.0500,
1.598,1.000,1.000,-2.455,-2.473,1.0000,1.0000,0.9000,0.0000,0.0500,
1.677,0.800,0.800,-2.463,-2.463,0.8447,0.7761,0.9000,0.0000,0.0500,
1.760,0.800,0.800,-2.421,-2.496,0.6815,0.9113,0.9000,0.0000,0.0500,
1.841,0.800,0.800,-2.464,-2.480,0.9356,0.7771,0.9000,0.0000,0.0500,
1.906,0.800,0.800,-2.425,-2.387,0.6912,0.4963,0.9000,0.0000,0.0500,
1.988,0.800,0.800,-2.437,-2.437,0.8318,0.9017,0.9000,0.0000,0.0500,
2.063,0.800,0.800,-2.463,-2.462,0.8896,0.8620,0.9000,0.0000,0.0500,
2.142,0.800,0.800,-2.284,-2.305,0.2161,0.2649,0.9000,0.0000,0.0500,
2.219,0.800,0.800,-2.454,-2.473,1.0000,1.0000,0.9000,0.0000,0.0500,
2.296,0.800,0.800,-2.436,-2.473,0.7536,0.8107,0.9000,0.0000,0.0500,
2.368,0.800,0.800,-2.453,-2.453,0.8594,0.7398,0.9000,0.0000,0.0500,
2.445,0.800,0.800,-2.458,-2.458,0.8346,0.8093,0.9000,0.0000,0.0500,
2.518,0.800,0.800,-2.472,-2.435,0.8680,0.7146,0.9000,0.0000,0.0500,
2.592,0.800,0.800,-2.472,-2.432,0.8309,0.7655,0.9000,0.0000,0.0500,
2.678,0.800,0.800,-2.435,-2.454,0.7083,0.8461,0.9000,0.0000,0.0500,
2.745,0.800,0.800,-2.400,-2.505,0.6793,0.9670,0.9000,0.0000,0.0500,
2.822,0.800,0.800,-2.499,-2.412,1.0000,0.5200,0.9000,0.0000,0.0500,
2.899,0.800,0.800,-2.453,-2.434,0.7016,0.8303,0.9000,0.0000,0.0500,
2.976,0.800,0.800,-2.464,-2.483,0.8551,0.9403,0.9000,0.0000,0.0500,
3.053,0.800,0.800,-2.455,-2.455,0.7941,0.7219,0.9000,0.0000,0.0500,
3.130,0.800,0.800,-2.469,-2.450,0.8644,0.7752,0.9000,0.0000,0.0500,
3.213,0.800,0.800,-2.467,-2.448,0.8247,0.7825,0.9000,0.0000,0.0500,
3.290,0.600,1.000,-2.471,-2.454,0.6633,0.9856,0.9000,0.0000,0.0500,
3.367,0.600,1.000,-2.473,-2.473,0.6595,1.0000,0.9000,0.0000,0.0500,
3.433,0.600,1.000,-2.448,-2.467,0.5683,0.9676,0.9000,0.0000,0.0500,
3.516,0.600,1.000,-2.405,-2.471,0.4856,0.9960,0.9000,0.0000,0.0500,
3.593,0.600,1.000,-2.514,-2.447,0.9641,0.9070,0.9000,0.0000,0.0500,
3.670,0.600,1.000,-2.456,-2.436,0.4948,0.9291,0.9000,0.0000,0.0500,
3.752,0.600,1.000,-2.451,-2.451,0.6194,1.0000,0.9000,0.0000,0.0500,
3.825,0.400,1.200,-2.446,-2.481,0.4396,1.0000,0.9000,0.0000,0.0500,
3.921,0.200,1.400,-2.459,-2.438,0.3115,0.8916,0.9000,0.0000,0.0500,
3.995,0.000,1.600,-2.478,-2.478,0.1673,1.0000,0.9000,0.0000,0.0500,
