t,set_left_rps,set_right_rps,meas_left_rps,meas_right_rps,out_left,out_right,Kp,Ki,Kd,battery_v
0.006,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.009,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.030,1.000,1.000,-0.298,-0.298,1.0000,1.0000,0.9000,0.0000,0.0500,
0.054,1.000,1.000,-1.340,-1.339,1.0000,1.0000,0.9000,0.0000,0.0500,
0.085,1.000,1.000,-1.895,-1.964,1.0000,1.0000,0.9000,0.0000,0.0500,
0.100,1.000,1.000,-2.103,-2.103,1.0000,1.0000,0.9000,0.0000,0.0500,
0.131,1.000,1.000,-2.137,-2.204,1.0000,1.0000,0.9000,0.0000,0.0500,
0.169,1.000,1.000,-2.246,-2.296,1.0000,1.0000,0.9000,0.0000,0.0500,
0.211,1.000,1.000,-2.321,-2.390,1.0000,1.0000,0.9000,0.0000,0.0500,
0.255,1.000,1.000,-2.376,-2.376,1.0000,0.9513,0.9000,0.0000,0.0500,
0.312,1.000,1.000,-2.465,-2.406,1.0000,1.0000,0.9000,0.0000,0.0500,
0.365,1.000,1.000,-2.456,-2.400,0.9704,0.9817,0.9000,0.0000,0.0500,
0.440,1.000,1.000,-2.456,-2.431,0.9906,1.0000,0.9000,0.0000,0.0500,
0.511,1.000,1.000,-2.481,-2.441,1.0000,1.0000,0.9000,0.0000,0.0500,
0.582,1.000,1.000,-2.456,-2.456,0.9161,1.0000,0.9000,0.0000,0.0500,
0.658,1.000,1.000,-2.475,-2.454,1.0000,0.9939,0.9000,0.0000,0.0500,
0.735,1.000,1.000,-2.457,-2.457,0.9349,1.0000,0.9000,0.0000,0.0500,
0.798,1.000,1.000,-2.465,-2.484,1.0000,1.0000,0.9000,0.0000,0.0500,
0.875,1.000,1.000,-2.438,-2.438,0.8953,0.8453,0.9000,0.0000,0.0500,
0.952,1.000,1.000,-2.441,-2.479,0.9707,1.0000,0.9000,0.0000,0.0500,
1.024,1.000,1.000,-2.467,-2.486,1.0000,1.0000,0.9000,0.0000,0.0500,
1.100,1.000,1.000,-2.457,-2.478,0.9529,0.9732,0.9000,0.0000,0.0500,
1.178,1.000,1.000,-2.463,-2.444,1.0000,0.8783,0.9000,0.0000,0.0500,
1.247,0.800,1.200,-2.455,-2.474,0.7767,1.0000,0.9000,0.0000,0.0500,
1.325,0.800,1.200,-2.453,-2.473,0.7897,0.9971,0.9000,0.0000,0.0500,
