t,cmd,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd
0.002,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.003,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.023,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.043,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.064,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.083,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.103,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.124,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.143,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.163,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.183,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.203,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.223,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.243,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.263,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.283,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.303,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.323,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.343,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.363,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.383,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.404,W,0.060,0.060,0.073,0.000,-0.0075,0.0360,0.600,0.000,0.000
0.424,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.443,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.463,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.483,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.503,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.523,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.543,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.564,W,0.060,0.060,0.073,0.000,-0.0075,0.0360,0.600,0.000,0.000
0.584,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.603,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.623,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.643,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.663,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.683,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.703,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.723,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.743,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.763,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.783,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.803,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.824,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.843,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.863,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.883,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.903,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.923,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.943,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.963,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
0.983,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.003,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.023,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.043,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.063,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.083,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.103,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.123,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.143,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.163,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.183,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.203,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.223,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.243,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.263,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.283,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.303,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.323,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.343,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.363,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.383,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.403,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.423,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.443,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.463,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.483,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.503,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.523,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.544,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.563,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.583,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.603,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.623,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
1.644,W,0.120,0.120,0.000,0.000,0.0720,0.0720,0.600,0.000,0.000
1.663,W,0.120,0.120,0.000,0.000,0.0720,0.0720,0.600,0.000,0.000
1.683,W,0.120,0.120,0.000,0.000,0.0720,0.0720,0.600,0.000,0.000
1.704,W,0.120,0.120,0.144,0.000,0.0220,0.0720,0.600,0.000,0.000
1.724,W,0.120,0.120,0.073,0.147,0.0280,0.0220,0.600,0.000,0.000
1.744,W,0.120,0.120,0.000,0.072,0.0720,0.0287,0.600,0.000,0.000
1.764,W,0.120,0.120,0.000,0.073,0.0720,0.0282,0.600,0.000,0.000
1.784,W,0.120,0.120,0.072,0.000,0.0286,0.0720,0.600,0.000,0.000
1.804,W,0.120,0.120,0.073,0.073,0.0284,0.0284,0.600,0.000,0.000
1.824,W,0.120,0.120,0.000,0.073,0.0720,0.0285,0.600,0.000,0.000
1.844,W,0.120,0.120,0.000,0.073,0.0720,0.0285,0.600,0.000,0.000
1.864,W,0.120,0.120,0.145,0.000,0.0220,0.0720,0.600,0.000,0.000
1.884,W,0.120,0.120,0.073,0.073,0.0285,0.0285,0.600,0.000,0.000
1.904,W,0.120,0.120,0.000,0.000,0.0720,0.0720,0.600,0.000,0.000
1.924,W,0.120,0.120,0.073,0.145,0.0285,0.0220,0.600,0.000,0.000
1.944,W,0.120,0.120,0.000,0.073,0.0720,0.0285,0.600,0.000,0.000
1.964,W,0.120,0.120,0.073,0.073,0.0285,0.0285,0.600,0.000,0.000
1.983,W,0.120,0.120,0.073,0.073,0.0285,0.0285,0.600,0.000,0.000
2.004,W,0.120,0.120,0.000,0.000,0.0720,0.0720,0.600,0.000,0.000
2.024,W,0.120,0.120,0.073,0.073,0.0285,0.0285,0.600,0.000,0.000
2.044,W,0.120,0.120,0.073,0.000,0.0285,0.0720,0.600,0.000,0.000
2.064,W,0.120,0.120,0.000,0.000,0.0720,0.0720,0.600,0.000,0.000
2.084,W,0.120,0.120,0.000,0.145,0.0720,0.0220,0.600,0.000,0.000
2.104,W,0.120,0.120,0.072,0.072,0.0288,0.0288,0.600,0.000,0.000
2.124,W,0.120,0.120,0.073,0.073,0.0282,0.0282,0.600,0.000,0.000
2.144,W,0.120,0.120,0.073,0.073,0.0284,0.0284,0.600,0.000,0.000
2.164,W,0.180,0.180,0.000,0.000,0.0784,0.0784,0.600,0.000,0.000
2.184,W,0.180,0.180,0.073,0.073,0.0639,0.0639,0.600,0.000,0.000
2.204,W,0.180,0.180,0.073,0.145,0.0645,0.0209,0.600,0.000,0.000
2.224,W,0.240,0.240,0.072,0.072,0.1010,0.0709,0.600,0.000,0.000
2.244,W,0.240,0.240,0.219,0.073,0.0510,0.1003,0.600,0.000,0.000
2.264,W,0.240,0.240,0.146,0.218,0.0565,0.0503,0.600,0.000,0.000
2.284,W,0.240,0.240,0.218,0.219,0.0130,0.0128,0.600,0.000,0.000
2.304,W,0.300,0.300,0.215,0.215,0.0510,0.0510,0.600,0.000,0.000
2.324,W,0.300,0.300,0.147,0.220,0.0919,0.0478,0.600,0.000,0.000
2.344,W,0.300,0.300,0.218,0.218,0.0494,0.0494,0.600,0.000,0.000
2.364,W,0.300,0.300,0.218,0.145,0.0494,0.0930,0.600,0.000,0.000
2.384,W,0.300,0.300,0.218,0.290,0.0494,0.0430,0.600,0.000,0.000
2.404,W,0.300,0.300,0.218,0.290,0.0494,0.0059,0.600,0.000,0.000
2.424,W,0.300,0.300,0.218,0.218,0.0494,0.0494,0.600,0.000,0.000
2.444,W,0.300,0.300,0.218,0.218,0.0494,0.0494,0.600,0.000,0.000
2.464,W,0.300,0.300,0.218,0.218,0.0495,0.0495,0.600,0.000,0.000
2.484,W,0.300,0.300,0.218,0.218,0.0494,0.0494,0.600,0.000,0.000
2.504,W,0.300,0.300,0.218,0.218,0.0494,0.0494,0.600,0.000,0.000
2.524,W,0.300,0.300,0.218,0.218,0.0495,0.0495,0.600,0.000,0.000
2.544,W,0.360,0.360,0.213,0.284,0.0882,0.0456,0.600,0.000,0.000
2.564,W,0.360,0.360,0.297,0.222,0.0382,0.0825,0.600,0.000,0.000
2.584,W,0.360,0.360,0.218,0.290,0.0854,0.0419,0.600,0.000,0.000
2.604,W,0.360,0.360,0.290,0.290,0.0419,0.0419,0.600,0.000,0.000
2.624,W,0.360,0.360,0.363,0.218,-0.0017,0.0854,0.600,0.000,0.000
2.644,W,0.360,0.360,0.218,0.363,0.0483,0.0354,0.600,0.000,0.000
2.664,W,0.360,0.360,0.290,0.290,0.0419,0.0419,0.600,0.000,0.000
2.684,W,0.360,0.360,0.218,0.290,0.0854,0.0419,0.600,0.000,0.000
2.704,W,0.360,0.360,0.218,0.290,0.0854,0.0419,0.600,0.000,0.000
2.724,W,0.360,0.360,0.363,0.290,0.0354,0.0419,0.600,0.000,0.000
2.744,W,0.360,0.360,0.290,0.217,0.0422,0.0857,0.600,0.000,0.000
2.764,W,0.360,0.360,0.291,0.291,0.0415,0.0415,0.600,0.000,0.000
2.784,W,0.360,0.360,0.290,0.363,0.0419,-0.0016,0.600,0.000,0.000
2.804,W,0.360,0.360,0.290,0.290,0.0420,0.0420,0.600,0.000,0.000
2.824,W,0.360,0.360,0.290,0.218,0.0418,0.0853,0.600,0.000,0.000
2.844,W,0.360,0.360,0.218,0.290,0.0854,0.0419,0.600,0.000,0.000
2.864,W,0.360,0.360,0.218,0.290,0.0854,0.0419,0.600,0.000,0.000
2.884,W,0.360,0.360,0.363,0.290,0.0354,0.0419,0.600,0.000,0.000
