t,cmd,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd
0.002,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.004,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.024,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.044,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.064,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.084,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.104,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.124,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.144,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.164,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.184,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.204,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.224,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.244,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.264,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.284,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.304,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.324,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.344,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.364,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.384,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.404,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.424,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.444,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.464,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.484,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.504,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.524,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.544,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.564,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.584,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.604,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.624,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.644,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.664,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.684,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.704,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.724,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.744,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.764,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.784,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.804,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.824,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.844,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.864,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.884,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.904,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.924,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.944,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.964,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.984,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.004,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.024,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
