t,base,turn,setL,setR,rpsL,rpsR,uFFL,uFFR,uPIDL,uPIDR,outL,outR
1.047,1.680,0.180,1.500,1.860,1.673,1.673,0.4650,0.5478,-0.0482,-0.1998,0.3540,0.3480
1.069,1.740,0.240,1.500,1.980,1.668,1.668,0.4650,0.5754,-0.0895,0.1985,0.3755,0.4480
1.089,1.800,0.300,1.500,2.100,1.741,1.814,0.4650,0.6030,-0.3278,-0.1926,0.2755,0.4104
1.110,1.800,0.360,1.440,2.160,1.797,1.868,0.4512,0.6168,-0.3522,0.0388,0.1755,0.5104
1.130,1.800,0.420,1.380,2.220,1.758,1.904,0.4374,0.6306,-0.1292,0.0997,0.2755,0.6104
1.152,1.800,0.480,1.320,2.280,1.736,2.097,0.4236,0.6444,-0.1946,-0.3728,0.2290,0.5104
1.172,1.800,0.540,1.260,2.340,1.746,2.183,0.4098,0.6582,-0.3181,-0.1195,0.1290,0.5387
1.194,1.800,0.600,1.200,2.400,1.727,2.231,0.3960,0.6720,-0.2684,-0.0187,0.1276,0.6387
1.213,1.800,0.660,1.140,2.460,1.742,2.299,0.3822,0.6858,-0.3978,-0.0740,0.0276,0.6118
1.233,1.800,0.720,1.080,2.520,1.684,2.342,0.3684,0.6996,-0.2169,-0.0019,0.1276,0.6977
1.254,1.800,0.780,1.020,2.580,1.535,2.412,0.3546,0.7134,0.0623,-0.0738,0.2276,0.6396
1.274,1.800,0.840,0.960,2.640,1.610,2.489,0.3408,0.7272,-0.5781,-0.1012,0.1276,0.6260
1.295,1.800,0.900,0.900,2.700,1.610,2.561,0.3270,0.7410,-0.4251,-0.0977,0.0276,0.6433
1.312,1.800,0.960,0.840,2.760,1.534,2.483,0.3132,0.7548,-0.2258,0.3612,0.0874,0.7433
1.333,1.800,1.000,0.800,2.800,1.446,2.531,0.3040,0.7640,-0.1690,0.0421,0.1350,0.8061
1.354,1.800,1.000,0.800,2.800,1.462,2.558,0.3040,0.7640,-0.4363,0.0770,0.0350,0.8410
1.374,1.800,1.000,0.800,2.800,1.440,2.606,0.3040,0.7640,-0.3305,-0.0044,-0.0265,0.7596
1.393,1.800,1.000,0.800,2.800,1.367,2.657,0.3040,0.7640,-0.1558,-0.0419,0.0735,0.7221
1.411,1.800,1.000,0.800,2.800,1.246,2.712,0.3040,0.7640,0.0343,-0.0833,0.1735,0.6807
1.431,1.800,1.000,0.800,2.800,1.165,2.693,0.3040,0.7640,-0.0155,0.1107,0.2735,0.7807
1.454,1.800,1.000,0.800,2.800,1.237,2.621,0.3040,0.7640,-0.4445,0.2895,0.1735,0.8807
1.475,1.800,1.000,0.800,2.800,1.303,2.750,0.3040,0.7640,-0.4642,-0.2928,0.0735,0.7807
1.495,1.800,1.000,0.800,2.800,1.309,2.764,0.3040,0.7640,-0.3230,-0.0155,-0.0190,0.7485
1.512,1.800,1.000,0.800,2.800,1.194,2.739,0.3040,0.7640,0.0523,0.1001,0.0810,0.8485
1.531,1.800,1.000,0.800,2.800,1.087,2.755,0.3040,0.7640,0.0940,-0.0131,0.1810,0.7509
1.550,1.800,1.000,0.800,2.800,1.161,2.758,0.3040,0.7640,-0.4011,0.0184,0.0810,0.7824
1.572,1.800,1.000,0.800,2.800,1.099,2.856,0.3040,0.7640,-0.0228,-0.2804,0.1810,0.6824
1.592,1.800,1.000,0.800,2.800,1.089,2.758,0.3040,0.7640,-0.1480,0.2723,0.1560,0.7824
1.610,1.800,1.000,0.800,2.800,1.098,2.782,0.3040,0.7640,-0.2025,-0.0491,0.1015,0.7149
