t,set_left_rps,set_right_rps,meas_left_rps,meas_right_rps,out_left,out_right,Kp,Ki,Kd,battery_v
0.005,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.009,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.030,1.000,1.000,-0.297,-0.223,1.0000,1.0000,0.9000,0.0000,0.0500,
0.059,1.000,1.000,-1.395,-1.395,1.0000,1.0000,0.9000,0.0000,0.0500,
0.082,1.000,1.000,-2.127,-2.196,1.0000,1.0000,0.9000,0.0000,0.0500,
0.123,1.000,1.000,-2.091,-2.091,0.8772,0.6409,0.9000,0.0000,0.0500,
0.179,1.000,1.000,-2.130,-2.130,1.0000,1.0000,0.9000,0.0000,0.0500,
0.226,1.000,1.000,-2.413,-2.413,1.0000,1.0000,0.9000,0.0000,0.0500,
0.285,1.000,1.000,-2.457,-2.396,1.0000,0.9440,0.9000,0.0000,0.0500,
0.350,1.000,1.000,-2.476,-2.452,1.0000,1.0000,0.9000,0.0000,0.0500,
0.422,1.000,1.000,-2.476,-2.476,0.9986,1.0000,0.9000,0.0000,0.0500,
0.494,1.000,1.000,-2.479,-2.459,1.0000,0.9421,0.9000,0.0000,0.0500,
0.571,1.000,1.000,-2.482,-2.482,1.0000,1.0000,0.9000,0.0000,0.0500,
0.642,1.000,1.000,-2.475,-2.475,0.9741,0.9742,0.9000,0.0000,0.0500,
0.720,1.000,1.000,-2.498,-2.477,1.0000,1.0000,0.9000,0.0000,0.0500,
0.786,1.000,1.000,-2.462,-2.480,0.8781,1.0000,0.9000,0.0000,0.0500,
0.872,1.000,1.000,-2.464,-2.464,0.9766,0.9434,0.9000,0.0000,0.0500,
0.936,1.000,1.000,-2.488,-2.470,1.0000,1.0000,0.9000,0.0000,0.0500,
1.008,1.000,1.000,-2.460,-2.481,0.8970,1.0000,0.9000,0.0000,0.0500,
1.084,1.000,1.000,-2.454,-2.475,0.9451,0.9780,0.9000,0.0000,0.0500,
1.160,1.000,1.000,-2.463,-2.482,0.9925,1.0000,0.9000,0.0000,0.0500,
1.237,1.000,1.000,-2.465,-2.465,0.9753,0.9418,0.9000,0.0000,0.0500,
1.314,1.000,1.000,-2.470,-2.489,0.9870,1.0000,0.9000,0.0000,0.0500,
1.396,1.000,1.000,-2.479,-2.479,1.0000,0.9667,0.9000,0.0000,0.0500,
1.473,1.200,0.800,-2.442,-2.476,0.9089,0.8020,0.9000,0.0000,0.0500,
1.549,1.200,0.800,-2.486,-2.467,1.0000,0.7787,0.9000,0.0000,0.0500,
1.615,1.200,0.800,-2.481,-2.481,0.9839,0.8490,0.9000,0.0000,0.0500,
1.686,1.200,0.800,-2.476,-2.498,0.9780,0.8695,0.9000,0.0000,0.0500,
1.757,1.200,0.800,-2.472,-2.493,0.9762,0.8121,0.9000,0.0000,0.0500,
1.829,1.200,0.800,-2.482,-2.462,1.0000,0.7171,0.9000,0.0000,0.0500,
1.905,1.200,0.800,-2.474,-2.474,0.9692,0.8371,0.9000,0.0000,0.0500,
1.982,1.200,0.800,-2.487,-2.449,1.0000,0.7219,0.9000,0.0000,0.0500,
2.058,1.200,0.800,-2.498,-2.460,1.0000,0.8212,0.9000,0.0000,0.0500,
2.135,1.200,0.800,-2.492,-2.454,0.9796,0.7753,0.9000,0.0000,0.0500,
2.212,1.200,0.800,-2.491,-2.472,0.9926,0.8505,0.9000,0.0000,0.0500,
2.289,1.000,1.000,-2.505,-2.448,0.8589,0.9028,0.9000,0.0000,0.0500,
2.365,1.000,1.000,-2.485,-2.448,0.7613,0.9627,0.9000,0.0000,0.0500,
2.441,1.000,1.000,-2.493,-2.474,0.8333,1.0000,0.9000,0.0000,0.0500,
2.506,1.000,1.000,-2.498,-2.440,0.8317,0.8730,0.9000,0.0000,0.0500,
2.589,1.000,1.000,-2.487,-2.423,0.7828,0.8992,0.9000,0.0000,0.0500,
2.666,1.000,1.000,-2.505,-2.453,0.8733,1.0000,0.9000,0.0000,0.0500,
2.737,0.800,1.200,-2.491,-2.453,0.5977,1.0000,0.9000,0.0000,0.0500,
2.810,0.600,1.400,-2.483,-2.418,0.4279,0.9114,0.9000,0.0000,0.0500,
2.891,0.600,1.400,-2.477,-2.477,0.4247,1.0000,0.9000,0.0000,0.0500,
2.967,0.400,1.600,-2.471,-2.471,0.2409,0.9852,0.9000,0.0000,0.0500,
3.044,0.400,1.600,-2.442,-2.499,0.1572,1.0000,0.9000,0.0000,0.0500,
3.121,0.400,1.600,-2.454,-2.491,0.2696,0.9753,0.9000,0.0000,0.0500,
3.186,0.400,1.600,-2.447,-2.508,0.2190,1.0000,0.9000,0.0000,0.0500,
3.263,0.400,1.600,-2.459,-2.459,0.2733,0.8327,0.9000,0.0000,0.0500,
3.345,0.400,1.600,-2.458,-2.514,0.2424,1.0000,0.9000,0.0000,0.0500,
3.422,0.400,1.600,-2.470,-2.503,0.2829,0.9623,0.9000,0.0000,0.0500,
3.499,0.400,1.600,-2.400,-2.532,0.0176,1.0000,0.9000,0.0000,0.0500,
3.575,0.400,1.600,-2.362,-2.590,0.0615,1.0000,0.9000,0.0000,0.0500,
3.646,0.400,1.600,-2.349,-2.595,0.1148,1.0000,0.9000,0.0000,0.0500,
3.718,0.400,1.600,-2.313,-2.655,0.0219,1.0000,0.9000,0.0000,0.0500,
