t,wHeld,nudge,setL,setR,rpsL,rpsR,uFFL,uFFR,uPIDL,uPIDR,outL,outR
0.000,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.002,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.023,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.043,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.063,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.083,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.103,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.123,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.143,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.163,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.183,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.203,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.223,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.243,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.263,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.283,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.303,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.323,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.343,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.363,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.383,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.403,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.423,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.443,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.463,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.483,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.503,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.523,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.543,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.563,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.583,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.603,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.623,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.643,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.663,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.683,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.703,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.723,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.743,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.763,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.783,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.803,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.823,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.843,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.863,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.883,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.903,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.923,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.943,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.963,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.983,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.003,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.023,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.043,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.063,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.083,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.103,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.123,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.143,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.163,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.183,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.203,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.223,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.243,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.263,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.283,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.303,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.323,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.343,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.363,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.383,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.403,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.423,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.443,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.463,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.483,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.503,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.523,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.543,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.563,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.583,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.603,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.623,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.643,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.663,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.683,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.703,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.723,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.743,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.763,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.783,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.803,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.823,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.843,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.863,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.883,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.903,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.923,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.943,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.963,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.983,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.003,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.023,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.043,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.063,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.083,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.103,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.123,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.143,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.163,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.183,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.203,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.223,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.243,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.263,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.283,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.303,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.323,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.343,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.363,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.383,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.403,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.423,0,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.443,1,0.000,0.060,0.060,0.000,0.000,0.1338,0.1338,0.0360,0.0360,0.1000,0.1000
2.463,1,0.000,0.120,0.120,0.000,0.000,0.1476,0.1476,0.0720,0.0720,0.2000,0.2000
2.483,1,0.000,0.180,0.180,0.290,0.290,0.1614,0.1614,-0.7913,-0.7913,0.1000,0.1000
2.503,1,0.000,0.240,0.240,0.289,0.289,0.1752,0.1752,-0.0261,-0.0260,0.1491,0.1492
2.523,1,0.000,0.300,0.300,0.361,0.289,0.1890,0.1890,-0.2176,0.0063,0.0491,0.1953
2.543,1,0.000,0.360,0.360,0.146,0.439,0.2028,0.2028,0.6651,-0.4232,0.1491,0.0953
2.563,1,0.000,0.420,0.420,0.290,0.363,0.2166,0.2166,-0.2817,0.2254,0.0491,0.1953
2.583,1,0.000,0.480,0.480,0.290,0.508,0.2304,0.2304,0.1140,-0.3793,0.1491,0.0953
2.603,1,0.000,0.540,0.540,0.290,0.508,0.2442,0.2442,0.1501,0.0198,0.2491,0.1953
2.623,1,0.000,0.600,0.600,0.508,0.581,0.2580,0.2580,-0.4893,-0.1705,0.1491,0.0953
2.643,1,0.000,0.660,0.660,0.508,0.580,0.2718,0.2718,0.0920,0.0486,0.2491,0.1953
2.663,1,0.000,0.720,0.720,0.726,0.726,0.2856,0.2856,-0.5481,-0.3668,0.1491,0.0953
2.683,1,0.000,0.780,0.780,0.798,0.725,0.2994,0.2994,-0.1912,0.0338,0.1082,0.1953
2.703,1,0.000,0.840,0.840,0.868,0.868,0.3132,0.3132,-0.1916,-0.3731,0.1216,0.0953
2.723,1,0.000,0.900,0.900,0.801,0.874,0.3270,0.3270,0.2271,0.0016,0.2216,0.1953
2.743,1,0.000,0.960,0.960,0.943,0.870,0.3408,0.3408,-0.3446,0.0621,0.1216,0.2953
2.763,1,0.000,1.020,1.020,1.016,1.088,0.3546,0.3546,-0.1801,-0.5862,0.1745,0.1953
2.783,1,0.000,1.080,1.080,1.011,1.227,0.3684,0.3684,0.0544,-0.4358,0.2745,0.0953
2.803,1,0.000,1.140,1.140,1.149,1.221,0.3822,0.3822,-0.3525,-0.0337,0.1745,0.1953
2.823,1,0.000,1.200,1.200,1.173,1.173,0.3960,0.3960,-0.0443,0.1355,0.2745,0.2953
2.843,1,0.000,1.260,1.260,1.310,1.381,0.4098,0.4098,-0.3719,-0.5925,0.1745,0.1953
2.863,1,-0.586,1.320,1.214,1.375,1.449,0.4236,0.3992,-0.1935,-0.3095,0.2301,0.0953
2.883,1,-0.573,1.380,1.227,1.456,1.456,0.4374,0.4022,-0.2495,-0.1554,0.1879,0.1953
2.903,1,-0.560,1.440,1.240,1.450,1.450,0.4512,0.4052,0.0081,-0.1119,0.2879,0.2933
2.923,1,-0.547,1.500,1.253,1.581,1.581,0.4650,0.4082,-0.3749,-0.5235,0.1879,0.1933
2.943,1,-0.535,1.560,1.265,1.588,1.588,0.4788,0.4111,-0.0351,-0.2115,0.2879,0.1996
2.963,1,-0.522,1.620,1.278,1.646,1.646,0.4926,0.4139,-0.1591,-0.3644,0.3335,0.0996
2.983,1,-0.510,1.680,1.290,1.717,1.643,0.5064,0.4166,-0.2013,-0.2041,0.3051,0.1996
3.003,1,-0.499,1.740,1.301,1.863,1.648,0.5202,0.4193,-0.4388,-0.2225,0.2051,0.1968
3.023,1,-0.487,1.800,1.313,1.850,1.637,0.5340,0.4219,0.0023,-0.1657,0.3051,0.2562
3.043,1,-0.476,1.860,1.324,1.873,1.723,0.5478,0.4245,-0.0657,-0.4566,0.4051,0.1562
3.063,0,-0.465,1.800,1.264,1.933,1.790,0.5340,0.4107,-0.2286,-0.4809,0.3054,0.0562
3.083,0,-0.455,1.740,1.204,2.002,1.716,0.5202,0.3969,-0.3296,-0.1227,0.2054,0.1562
3.103,0,-0.444,1.680,1.144,2.019,1.587,0.5064,0.3831,-0.2478,0.0568,0.2586,0.2562
3.123,0,-0.434,1.620,1.084,1.960,1.669,0.4926,0.3693,-0.0541,-0.5579,0.3586,0.1562
3.143,0,-0.424,1.560,1.024,1.955,1.666,0.4788,0.3555,-0.2265,-0.3757,0.2586,0.0562
3.163,0,-0.415,1.500,0.964,1.974,1.609,0.4650,0.3417,-0.3315,-0.2446,0.1586,0.0971
3.183,0,-0.405,1.440,0.904,1.894,1.530,0.4512,0.3279,-0.0735,-0.1794,0.2586,0.1484
3.203,0,-0.396,1.380,0.844,1.914,1.472,0.4374,0.3141,-0.3694,-0.2326,0.1586,0.0815
3.223,0,-0.387,1.320,0.784,1.887,1.524,0.4236,0.3003,-0.2726,-0.5740,0.1510,-0.0185
3.243,0,-0.378,1.260,0.724,1.828,1.462,0.4098,0.2865,-0.1924,-0.2877,0.2174,-0.0012
3.263,0,-0.369,1.200,0.664,1.814,1.233,0.3960,0.2727,-0.3327,0.2306,0.1174,0.0988
3.283,0,-0.361,1.140,0.604,1.741,1.233,0.3822,0.2589,-0.1798,-0.3780,0.2024,-0.0012
3.303,0,-0.353,1.080,0.544,1.760,1.267,0.3684,0.2451,-0.4546,-0.5185,0.1024,-0.1012
3.323,0,-0.345,1.020,0.484,1.698,1.034,0.3546,0.2313,-0.2528,0.2536,0.1018,-0.0012
3.343,0,-0.337,0.960,0.424,1.609,0.804,0.3408,0.2175,-0.1655,0.3449,0.1753,0.0988
3.363,0,-0.329,0.900,0.364,1.605,0.729,0.3270,0.2037,-0.4124,-0.0317,0.0753,0.1720
3.383,0,-0.322,0.840,0.304,1.524,0.871,0.3132,0.1899,-0.2075,-0.6932,0.1057,0.0720
3.403,0,-0.314,0.780,0.244,1.378,0.943,0.2994,0.1761,0.0057,-0.5994,0.2057,-0.0280
3.423,0,-0.307,0.720,0.184,1.449,0.942,0.2856,0.1623,-0.6168,-0.4538,0.1057,-0.1280
3.443,0,-0.300,0.660,0.124,1.452,0.726,0.2718,0.1485,-0.4804,0.1795,0.0057,-0.0280
3.463,0,-0.879,0.720,0.064,1.229,0.506,0.2856,0.1347,0.2513,0.2842,0.1057,0.0720
3.483,0,-0.859,0.780,0.004,1.238,0.437,0.2994,0.1209,-0.2978,-0.0872,0.0057,0.0336
3.503,0,-0.840,0.840,-0.056,1.208,0.497,0.3131,-0.1329,-0.1460,-0.4836,0.1057,-0.0664
3.523,0,-0.821,0.821,-0.116,1.096,0.438,0.3087,-0.1467,0.1158,-0.1847,0.2057,-0.1664
3.543,0,-0.802,0.802,-0.176,1.030,0.147,0.3044,-0.1605,0.0277,0.5339,0.3057,-0.0664
3.563,0,-0.783,0.783,-0.236,1.161,0.000,0.3002,-0.1743,-0.5532,0.2261,0.2057,0.0336
3.583,0,-0.766,0.766,-0.296,1.305,0.000,0.2961,-0.1881,-0.6857,-0.1777,0.1057,-0.0664
3.603,0,-0.748,0.748,-0.356,1.158,0.000,0.2921,-0.2019,0.1219,-0.2137,0.2057,-0.1664
3.623,0,-0.731,0.731,-0.416,1.158,-0.072,0.2881,-0.2157,-0.2568,-0.0253,0.1057,-0.2410
3.643,0,-0.714,0.714,-0.476,1.225,-0.360,0.2843,-0.2295,-0.4721,0.6500,0.0057,-0.1410
3.663,0,-0.698,0.698,-0.536,1.146,-0.358,0.2805,-0.2433,-0.0727,-0.1119,0.1057,-0.2410
3.683,0,-0.682,0.682,-0.596,1.189,-0.520,0.2769,-0.2571,-0.4112,0.3594,0.0057,-0.1410
3.703,0,-0.666,0.666,-0.656,1.008,-0.720,0.2733,-0.2709,0.2485,0.5372,0.1057,-0.0410
3.723,0,-0.651,0.651,-0.651,0.951,-0.658,0.2698,-0.2698,-0.0366,-0.1502,0.2057,-0.1410
3.743,0,-0.636,0.636,-0.636,1.016,-0.653,0.2664,-0.2664,-0.3902,-0.0030,0.1057,-0.2410
3.763,0,-0.622,0.622,-0.622,1.016,-0.798,0.2630,-0.2630,-0.2366,0.4686,0.0264,-0.1410
3.783,0,-0.608,0.608,-0.608,1.015,-0.870,0.2598,-0.2598,-0.2441,0.3386,0.0157,-0.0410
3.803,0,-0.594,0.594,-0.594,0.871,-0.871,0.2566,-0.2566,0.1962,0.1665,0.1157,-0.0901
3.823,0,-0.580,0.580,-0.580,0.796,-0.868,0.2534,-0.2534,0.0572,0.1671,0.2157,-0.0864
3.843,0,-0.567,0.567,-0.567,0.861,-0.860,0.2504,-0.2504,-0.3376,0.1567,0.1157,-0.0938
3.863,0,-0.554,0.554,-0.554,0.883,-0.882,0.2474,-0.2474,-0.2521,0.2521,0.0157,0.0047
3.883,0,-0.541,0.541,-0.541,0.798,-0.798,0.2445,-0.2445,0.0560,-0.0558,0.1157,-0.0953
3.903,0,-0.529,0.529,-0.529,0.711,-0.782,0.2417,-0.2417,0.1091,0.1113,0.2157,-0.1304
3.923,0,-0.517,0.517,-0.517,0.805,-0.805,0.2389,-0.2389,-0.4085,0.2306,0.1157,-0.0304
3.943,0,-0.505,0.505,-0.505,0.792,-0.936,0.2362,-0.2362,-0.1385,0.5849,0.0976,0.0696
3.963,0,-0.494,0.494,-0.494,0.730,-0.803,0.2335,-0.2335,0.0124,-0.1460,0.1976,-0.0304
3.983,0,-0.482,0.482,-0.482,0.876,-0.657,0.2309,-0.2309,-0.6005,-0.2609,0.0976,-0.1304
4.003,0,-0.471,0.471,-0.471,0.799,-0.726,0.2284,-0.2284,-0.0034,0.3255,0.1976,-0.0304
4.023,0,-0.461,0.461,-0.461,0.930,-0.716,0.2259,-0.2259,-0.6111,0.1273,0.0976,-0.0987
4.043,0,-0.450,0.450,-0.450,0.887,-0.517,0.2235,-0.2235,-0.1540,-0.4551,0.0695,-0.1987
4.063,0,-0.440,0.440,-0.440,0.922,-0.781,0.2211,-0.2211,-0.3782,0.8625,-0.0305,-0.0987
4.083,0,-0.430,0.430,-0.430,0.738,-0.812,0.2188,-0.2188,0.2756,0.3079,0.0695,0.0013
4.103,0,-0.420,0.420,-0.420,0.729,-0.802,0.2166,-0.2166,-0.1627,0.2042,0.0539,-0.0124
4.123,0,-0.410,0.410,-0.410,0.725,-0.726,0.2144,-0.2144,-0.1801,-0.0021,0.0342,-0.1124
4.143,0,-0.401,0.401,-0.401,0.580,-0.725,0.2122,-0.2122,0.2555,0.1941,0.1342,-0.0181
4.163,0,-0.392,0.392,-0.392,0.653,-0.725,0.2101,-0.2101,-0.3385,0.2007,0.0342,-0.0094
4.183,0,-0.383,0.383,-0.383,0.653,-0.653,0.2080,-0.2080,-0.1618,-0.0195,0.0462,-0.1094
4.203,0,-0.374,0.374,-0.374,0.508,-0.725,0.2060,-0.2060,0.2824,0.3922,0.1462,-0.0094
4.223,0,-0.366,0.366,-0.366,0.653,-0.653,0.2041,-0.2041,-0.5353,-0.0087,0.0462,-0.1094
4.243,0,-0.357,0.357,-0.357,0.580,-0.653,0.2021,-0.2021,0.0477,0.1771,0.1462,-0.0251
4.263,0,-0.349,0.349,-0.349,0.580,-0.508,0.2003,-0.2003,-0.1389,-0.2673,0.0613,-0.1251
4.283,0,-0.341,0.341,-0.341,0.508,-0.581,0.1984,-0.1984,0.0809,0.3255,0.1613,-0.0251
4.303,0,-0.333,0.333,-0.333,0.508,-0.508,0.1966,-0.1966,-0.1043,-0.0772,0.0924,-0.1251
4.323,0,-0.326,0.326,-0.326,0.504,-0.432,0.1949,-0.1949,-0.0966,-0.1268,0.0983,-0.2251
4.343,0,-0.318,0.318,-0.318,0.505,-0.577,0.1932,-0.1932,-0.1144,0.5181,0.0788,-0.1251
4.363,0,-0.311,0.311,-0.311,0.508,-0.653,0.1915,-0.1915,-0.1252,0.3944,0.0663,-0.0251
4.383,0,-0.304,0.304,-0.304,0.367,-0.661,0.1899,-0.1899,0.3123,0.2361,0.1663,0.0462
4.403,0,-0.297,0.297,-0.297,0.435,-0.507,0.1883,-0.1883,-0.2517,-0.2582,0.0663,-0.0538
4.423,0,-0.290,0.290,-0.290,0.509,-0.437,0.1867,-0.1867,-0.3172,-0.0891,-0.0337,-0.1538
4.443,0,-0.283,0.283,-0.283,0.290,-0.435,0.1852,-0.1852,0.5436,0.0878,0.0663,-0.0974
4.463,0,-0.277,0.277,-0.277,0.290,-0.508,0.1837,-0.1837,-0.0078,0.3197,0.1663,0.0026
4.483,0,-0.271,0.271,-0.271,0.290,-0.363,0.1823,-0.1823,-0.0118,-0.3074,0.1705,-0.0974
4.503,0,-0.264,0.264,-0.264,0.363,-0.363,0.1808,-0.1808,-0.2404,0.0591,0.0705,-0.1217
4.523,0,-0.258,0.258,-0.258,0.363,-0.435,0.1794,-0.1794,-0.0623,0.2871,0.1171,-0.0217
4.543,0,-0.253,0.253,-0.253,0.290,-0.290,0.1781,-0.1781,0.1588,-0.3401,0.2171,-0.1217
4.563,0,-0.247,0.247,-0.247,0.363,-0.218,0.1768,-0.1768,-0.2510,-0.1987,0.1171,-0.2217
4.583,0,-0.241,0.241,-0.241,0.363,-0.435,0.1755,-0.1755,-0.0729,0.6604,0.1026,-0.1217
4.603,0,-0.236,0.236,-0.236,0.363,-0.508,0.1742,-0.1742,-0.0765,0.3451,0.0977,-0.0217
4.623,0,-0.230,0.230,-0.230,0.363,-0.363,0.1730,-0.1730,-0.0791,-0.2838,0.0939,-0.1217
4.643,0,-0.225,0.225,-0.225,0.363,-0.363,0.1717,-0.1717,-0.0829,0.0829,0.0889,-0.0888
4.663,0,-0.220,0.220,-0.220,0.290,-0.363,0.1706,-0.1706,0.1393,0.0855,0.1889,-0.0851
4.683,0,-0.215,0.215,-0.215,0.363,-0.363,0.1694,-0.1694,-0.2707,0.0894,0.0889,-0.0800
4.703,0,-0.210,0.210,-0.210,0.361,-0.288,0.1683,-0.1683,-0.0845,-0.1390,0.0838,-0.1800
4.723,0,-0.205,0.205,-0.205,0.365,-0.365,0.1672,-0.1672,-0.1065,0.2867,0.0607,-0.0800
4.743,0,-0.200,0.200,-0.200,0.360,-0.432,0.1661,-0.1661,-0.0833,0.3064,0.0829,0.0200
4.763,0,-0.196,0.196,-0.196,0.219,-0.292,0.1651,-0.1651,0.3372,-0.2905,0.1829,-0.0800
