t,mode,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd,Vbat
2.352,BACK,-1.200,-1.200,0.580,0.580,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.368,BACK,-1.200,-1.200,1.015,1.160,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.392,BACK,-1.200,-1.200,-0.653,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
2.408,BACK,-1.200,-1.200,-0.943,-1.088,1.0000,1.0000,0.9000,0.0000,0.0500,
2.432,BACK,-1.200,-1.200,0.573,0.501,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.448,STOP,0.000,0.000,1.027,1.174,-0.9245,-1.0000,0.9000,0.0000,0.0500,
2.472,STOP,0.000,0.000,-0.575,-0.575,1.0000,1.0000,0.9000,0.0000,0.0500,
2.488,STOP,0.000,0.000,-0.946,-1.092,1.0000,1.0000,0.9000,0.0000,0.0500,
2.512,STOP,0.000,0.000,0.657,0.584,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.528,STOP,0.000,0.000,1.088,1.161,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.551,STOP,0.000,0.000,-0.576,-0.576,1.0000,1.0000,0.9000,0.0000,0.0500,
2.568,STOP,0.000,0.000,-0.877,-1.023,1.0000,1.0000,0.9000,0.0000,0.0500,
2.591,STOP,0.000,0.000,0.572,0.572,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.608,STOP,0.000,0.000,1.030,1.104,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.631,STOP,0.000,0.000,-0.651,-0.506,1.0000,1.0000,0.9000,0.0000,0.0500,
2.648,STOP,0.000,0.000,-0.946,-1.019,1.0000,1.0000,0.9000,0.0000,0.0500,
2.671,STOP,0.000,0.000,0.580,0.580,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.688,STOP,0.000,0.000,1.088,1.160,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.711,STOP,0.000,0.000,-0.581,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
2.728,STOP,0.000,0.000,-0.943,-1.015,1.0000,1.0000,0.9000,0.0000,0.0500,
2.751,STOP,0.000,0.000,0.580,0.580,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.768,STOP,0.000,0.000,1.015,1.088,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.792,STOP,0.000,0.000,-0.580,-0.507,1.0000,1.0000,0.9000,0.0000,0.0500,
2.808,STOP,0.000,0.000,-0.944,-1.089,1.0000,1.0000,0.9000,0.0000,0.0500,
2.832,STOP,0.000,0.000,0.580,0.507,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.848,STOP,0.000,0.000,1.089,1.162,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.871,STOP,0.000,0.000,-0.579,-0.506,1.0000,1.0000,0.9000,0.0000,0.0500,
2.888,STOP,0.000,0.000,-0.801,-1.019,1.0000,1.0000,0.9000,0.0000,0.0500,
2.911,STOP,0.000,0.000,0.640,0.569,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.928,STOP,0.000,0.000,1.111,1.111,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.952,STOP,0.000,0.000,-0.580,-0.435,1.0000,1.0000,0.9000,0.0000,0.0500,
2.968,STOP,0.000,0.000,-0.798,-0.943,1.0000,1.0000,0.9000,0.0000,0.0500,
2.991,STOP,0.000,0.000,0.725,0.580,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.008,STOP,0.000,0.000,1.088,1.161,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.031,STOP,0.000,0.000,-0.572,-0.501,1.0000,1.0000,0.9000,0.0000,0.0500,
3.048,STOP,0.000,0.000,-0.810,-0.883,1.0000,1.0000,0.9000,0.0000,0.0500,
3.072,STOP,0.000,0.000,0.725,0.580,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.088,STOP,0.000,0.000,1.016,1.234,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.110,STOP,0.000,0.000,-0.580,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
3.128,STOP,0.000,0.000,-0.725,-0.870,1.0000,1.0000,0.9000,0.0000,0.0500,
3.152,STOP,0.000,0.000,0.775,0.775,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.168,STOP,0.000,0.000,1.047,1.197,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.192,STOP,0.000,0.000,-0.508,-0.435,1.0000,1.0000,0.9000,0.0000,0.0500,
3.208,STOP,0.000,0.000,-0.871,-1.016,1.0000,1.0000,0.9000,0.0000,0.0500,
3.232,STOP,0.000,0.000,0.636,0.636,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.248,STOP,0.000,0.000,1.043,1.192,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.271,STOP,0.000,0.000,-0.508,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
3.288,STOP,0.000,0.000,-0.871,-0.943,1.0000,1.0000,0.9000,0.0000,0.0500,
3.314,STOP,0.000,0.000,0.712,0.641,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.328,STOP,0.000,0.000,1.108,1.256,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.352,STOP,0.000,0.000,-0.508,-0.363,1.0000,1.0000,0.9000,0.0000,0.0500,
3.368,STOP,0.000,0.000,-0.870,-1.015,1.0000,1.0000,0.9000,0.0000,0.0500,
3.391,STOP,0.000,0.000,0.719,0.647,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.408,STOP,0.000,0.000,1.098,1.171,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.431,STOP,0.000,0.000,-0.580,-0.435,1.0000,1.0000,0.9000,0.0000,0.0500,
3.448,STOP,0.000,0.000,-0.653,-0.871,0.7692,1.0000,0.9000,0.0000,0.0500,
3.471,STOP,0.000,0.000,0.653,0.653,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.488,STOP,0.000,0.000,0.943,1.233,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.511,STOP,0.000,0.000,-0.653,-0.435,1.0000,1.0000,0.9000,0.0000,0.0500,
3.528,STOP,0.000,0.000,-0.871,-0.943,1.0000,1.0000,0.9000,0.0000,0.0500,
3.552,STOP,0.000,0.000,0.777,0.636,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.568,STOP,0.000,0.000,1.044,1.193,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.590,STOP,0.000,0.000,-0.497,-0.426,1.0000,1.0000,0.9000,0.0000,0.0500,
3.608,STOP,0.000,0.000,-0.816,-0.965,1.0000,1.0000,0.9000,0.0000,0.0500,
3.631,STOP,0.000,0.000,0.789,0.574,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.648,STOP,0.000,0.000,1.027,1.173,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.671,STOP,0.000,0.000,-0.508,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
3.688,STOP,0.000,0.000,-0.871,-0.943,1.0000,1.0000,0.9000,0.0000,0.0500,
3.711,STOP,0.000,0.000,0.653,0.653,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.728,STOP,0.000,0.000,1.088,1.088,-1.0000,-1.0000,0.9000,0.0000,0.0500,
