t,mode,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd,Vbat
0.005,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.008,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.028,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.048,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.068,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.088,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.108,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.128,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.148,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.168,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.188,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.208,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.228,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.248,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.268,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.288,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.308,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.328,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.348,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.368,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.388,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.408,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.428,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.448,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.468,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.488,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.508,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.528,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.548,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.568,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.588,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.608,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.628,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.648,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.668,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.688,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.708,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.728,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.748,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.768,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.788,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.808,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.828,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.848,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.868,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.888,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.908,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.928,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.948,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.968,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.988,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.008,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.028,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.048,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.068,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.088,BACK,-1.200,-1.200,0.000,0.000,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.109,BACK,-1.200,-1.200,-0.145,-0.073,-0.5062,-0.7530,0.9000,0.0000,0.0500,
1.131,BACK,-1.200,-1.200,-0.943,-1.016,1.0000,1.0000,0.9000,0.0000,0.0500,
1.148,BACK,-1.200,-1.200,-0.653,-0.943,-1.0000,-0.3326,0.9000,0.0000,0.0500,
1.168,BACK,-1.200,-1.200,0.073,0.000,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.192,BACK,-1.200,-1.200,-1.210,-0.783,1.0000,1.0000,0.9000,0.0000,0.0500,
1.208,BACK,-1.200,-1.200,-1.258,-1.332,0.3187,1.0000,0.9000,0.0000,0.0500,
1.229,BACK,-1.200,-1.200,0.073,0.363,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.248,BACK,-1.200,-1.200,0.073,0.871,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.272,BACK,-1.200,-1.200,-1.233,-0.725,1.0000,1.0000,0.9000,0.0000,0.0500,
1.288,BACK,-1.200,-1.200,-1.306,-1.233,0.4228,1.0000,0.9000,0.0000,0.0500,
1.310,BACK,-1.200,-1.200,0.216,0.503,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.328,BACK,-1.200,-1.200,0.147,1.026,-0.7654,-1.0000,0.9000,0.0000,0.0500,
1.351,BACK,-1.200,-1.200,-1.075,-0.645,1.0000,1.0000,0.9000,0.0000,0.0500,
1.368,BACK,-1.200,-1.200,-1.102,-1.175,0.2526,1.0000,0.9000,0.0000,0.0500,
1.390,BACK,-1.200,-1.200,0.145,0.581,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.408,BACK,-1.200,-1.200,0.145,1.088,-0.9364,-1.0000,0.9000,0.0000,0.0500,
1.432,BACK,-1.200,-1.200,-1.160,-0.653,1.0000,1.0000,0.9000,0.0000,0.0500,
1.448,BACK,-1.200,-1.200,-1.306,-1.161,0.7334,1.0000,0.9000,0.0000,0.0500,
1.470,BACK,-1.200,-1.200,0.360,0.575,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.488,BACK,-1.200,-1.200,0.585,1.025,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.512,BACK,-1.200,-1.200,-0.854,-0.569,1.0000,1.0000,0.9000,0.0000,0.0500,
1.528,BACK,-1.200,-1.200,-1.184,-1.184,1.0000,1.0000,0.9000,0.0000,0.0500,
1.551,BACK,-1.200,-1.200,0.580,0.580,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.568,BACK,-1.200,-1.200,0.943,1.088,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.591,BACK,-1.200,-1.200,-0.637,-0.637,1.0000,1.0000,0.9000,0.0000,0.0500,
1.608,BACK,-1.200,-1.200,-0.967,-1.116,1.0000,1.0000,0.9000,0.0000,0.0500,
1.630,BACK,-1.200,-1.200,0.580,0.508,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.648,BACK,-1.200,-1.200,0.943,1.016,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.671,BACK,-1.200,-1.200,-0.508,-0.653,1.0000,1.0000,0.9000,0.0000,0.0500,
1.688,BACK,-1.200,-1.200,-0.943,-1.160,1.0000,1.0000,0.9000,0.0000,0.0500,
1.710,BACK,-1.200,-1.200,0.639,0.568,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.728,BACK,-1.200,-1.200,1.112,1.112,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.750,BACK,-1.200,-1.200,-0.580,-0.580,1.0000,1.0000,0.9000,0.0000,0.0500,
1.768,BACK,-1.200,-1.200,-0.870,-1.088,1.0000,1.0000,0.9000,0.0000,0.0500,
1.791,BACK,-1.200,-1.200,0.653,0.653,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.808,BACK,-1.200,-1.200,1.088,1.161,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.831,BACK,-1.200,-1.200,-0.565,-0.565,1.0000,1.0000,0.9000,0.0000,0.0500,
1.848,BACK,-1.200,-1.200,-0.894,-0.969,1.0000,1.0000,0.9000,0.0000,0.0500,
1.871,BACK,-1.200,-1.200,0.653,0.653,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.888,BACK,-1.200,-1.200,1.016,1.161,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.911,BACK,-1.200,-1.200,-0.580,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
1.928,BACK,-1.200,-1.200,-0.938,-1.083,1.0000,1.0000,0.9000,0.0000,0.0500,
1.951,BACK,-1.200,-1.200,0.714,0.643,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.968,BACK,-1.200,-1.200,1.037,1.111,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.991,BACK,-1.200,-1.200,-0.508,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
2.008,BACK,-1.200,-1.200,-0.943,-1.088,1.0000,1.0000,0.9000,0.0000,0.0500,
2.032,BACK,-1.200,-1.200,0.726,0.653,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.048,BACK,-1.200,-1.200,1.088,1.088,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.072,BACK,-1.200,-1.200,-0.567,-0.496,1.0000,1.0000,0.9000,0.0000,0.0500,
2.088,BACK,-1.200,-1.200,-0.966,-1.115,1.0000,1.0000,0.9000,0.0000,0.0500,
2.112,BACK,-1.200,-1.200,0.579,0.579,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.128,BACK,-1.200,-1.200,1.018,1.090,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.152,BACK,-1.200,-1.200,-0.568,-0.497,1.0000,1.0000,0.9000,0.0000,0.0500,
2.168,BACK,-1.200,-1.200,-1.038,-1.112,1.0000,1.0000,0.9000,0.0000,0.0500,
2.192,BACK,-1.200,-1.200,0.580,0.580,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.208,BACK,-1.200,-1.200,1.015,1.160,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.231,BACK,-1.200,-1.200,-0.580,-0.580,1.0000,1.0000,0.9000,0.0000,0.0500,
2.248,BACK,-1.200,-1.200,-0.943,-1.015,1.0000,1.0000,0.9000,0.0000,0.0500,
2.272,BACK,-1.200,-1.200,0.638,0.638,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.288,BACK,-1.200,-1.200,1.039,1.113,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.311,BACK,-1.200,-1.200,-0.580,-0.508,1.0000,1.0000,0.9000,0.0000,0.0500,
2.328,BACK,-1.200,-1.200,-0.943,-1.016,1.0000,1.0000,0.9000,0.0000,0.0500,
